ID,dissection_time,time (min),time2,fw length (mm),hw length (mm),fw area,hw area,
,,24,29,37.318,31.998,138.383,264.678,
,,29,34,35.066,31.371,138.181,257.51,
,,34,39,35.362,31.737,131.093,257.51,
,,40,45,35.286,31.92,136.721,255.672,
,,45,50,35.136,31.921,137.606,253.241,
,,49,54,35.492,32.566,134.286,257.794,
,,50,55,35.436,33.178,134.286,257.794,
H27_14Nov2018,10,0,10,25.716,20.245,NaN,147.54,
,,5,15,27.608,23.126,NaN,172.449,
,,10,20,31.197,26.248,NaN,210.532,
,,15,25,34.031,28.975,NaN,248.67,
,,20,30,35.791,33.916,NaN,279.541,
,,25,35,38.469,36.99,NaN,283.435,
,,30,40,41.337,37.858,NaN,291.325,
,,35,45,41.601,37.713,NaN,296.683,
,,41,51,41.674,37.798,NaN,294.314,
,,45,55,41.222,37.954,NaN,299.298,
,,48,58,41.815,37.176,NaN,299.298,
H28_14Nov2018,15,0,15,26.714,21.832,136.38,268.262,
,,2,17,26.704,21.815,142.737,286.468,
,,5,20,27.71,22.264,145.063,271.212,
,,10,25,28.924,24.084,162.303,298.995,
,,15,30,30.405,25.766,171.088,244.525,
,,21,36,31.22,30.544,173.387,240.676,
,,28,43,32.195,33.571,183.877,248.575,
,,32,47,32.424,33.688,173.257,241.084,
,,38,53,33.53,34.131,200.917,259.946,
,,42,57,33.529,34.774,201.533,250.991,
,,48,63,35.268,36.101,201.533,250.991,
H29_14Nov2018,10,0,10,26.348,20.314,166.196,207.101,
,,5,15,27.55,22.721,183.126,254.132,
,,10,20,29.258,25.382,202.224,265.629,
,,15,25,33.344,27.535,255.412,271.659,
,,20,30,37.046,31.51,287.477,284.376,
,,25,35,41.213,34.57,309.835,309.585,
,,31,41,40.808,36.258,318.915,326.372,
,,36,46,41.552,36.558,317.063,323.016,
,,41,51,41.542,36.704,321.582,320.776,
,,46,56,41.542,36.704,329.826,320.95,
,,78,88,42.714,39.012,329.826,320.95,
H30_14Nov2018,5,0,5,21.83,13.24,NaN,NaN,
,,5,10,22.576,13.894,NaN,NaN,
,,10,15,22.72,14.464,NaN,NaN,
,,15,20,23.062,14.907,NaN,NaN,
,,20,25,24.621,15.296,NaN,NaN,
,,25,30,27.486,17.852,NaN,NaN,
,,30,35,29.581,19.657,NaN,NaN,
,,36,41,30.447,22.281,NaN,NaN,
,,41,46,30.113,22.49,NaN,NaN,
,,46,51,30.184,23.122,NaN,NaN,
,,51,56,29.61,22.331,NaN,NaN,
,,84,89,29.57,25.44,NaN,NaN,
H31_14Nov2018,5,0,5,26.427,19.855,143.187,NaN,
,,1,6,27.388,19.669,155.206,NaN,
,,7,12,28.936,20.599,175.548,NaN,
,,13,18,33.215,21.212,212.143,NaN,
,,18,23,36.921,22.341,242.885,NaN,
,,23,28,40.215,23.013,268.007,NaN,
,,28,33,41.299,24.249,279.686,NaN,
,,33,38,41.299,25.393,280.665,NaN,
,,37,42,41.299,24.295,280.665,NaN,
,,42,47,41.299,24.718,280.665,NaN,
,,47,52,41.299,24.487,280.665,NaN,
,,55,60,41.753,24.45,280.665,NaN,
