ID,time (min),time of day,time diff,time in min,fw length (mm),hw length (mm),fwFold (mm),hwFold (mm),fw area,hw area
H7,10,7:11:00,0:00:00,0,20.69,14.83,NaN,NaN,NaN,NaN
,,7:16:00,0:05:00,5,24.628,17.415,NaN,NaN,NaN,NaN
,,7:26:00,0:15:00,15,27.103,19.385,NaN,NaN,NaN,NaN
,,7:36:00,0:25:00,25,31.93,24.974,NaN,NaN,NaN,NaN
,,7:47:00,0:36:00,36,29.318,21.442,NaN,NaN,NaN,NaN
,,7:58:00,0:47:00,47,29.812,24.242,NaN,NaN,NaN,NaN
,,8:08:00,0:57:00,57,34.691,26.169,NaN,NaN,NaN,NaN
H17,10,11:21:00,0:00:00,0,25.948,14.624,20.41,8.112,NaN,NaN
,,11:26:00,0:05:00,5,27.238,16.411,20.556,11.483,NaN,NaN
,,11:31:00,0:10:00,10,28.051,17.316,22.983,12.291,NaN,NaN
,,11:36:00,0:15:00,15,31.515,18.207,28.595,14.168,NaN,NaN
,,11:41:00,0:20:00,20,34.461,19.453,31.327,16.255,NaN,NaN
,,11:45:00,0:24:00,24,35.834,22.037,33.772,19.806,NaN,NaN
,,11:50:00,0:29:00,29,38.802,23.498,35.799,22.197,NaN,NaN
,,11:56:00,0:35:00,35,40.219,25.96,38.013,23.782,NaN,NaN
,,12:00:00,0:39:00,39,38.909,25.691,38.601,23.815,NaN,NaN
,,12:03:00,0:42:00,42,38.819,32.566,37.553,29.503,NaN,NaN
H24_13Nov2018,10,5:02:00,0,0,NaN,23.651,NaN,20.336,NaN,NaN
,,5:04:00,2,2,NaN,24.143,NaN,21.975,NaN,NaN
,,5:09:00,7,7,NaN,26.124,NaN,24.405,NaN,NaN
,,5:15:00,13,13,NaN,29.509,NaN,27.367,NaN,NaN
,,5:20:00,18,18,NaN,32.09,NaN,30.422,NaN,NaN
,,5:25:00,23,23,NaN,32.833,NaN,31.149,NaN,NaN
,,5:30:00,28,28,NaN,32.557,NaN,31.414,NaN,NaN
,,5:35:00,33,33,NaN,33.429,NaN,31.071,NaN,NaN
,,5:35:00,33,33,NaN,33.009,NaN,30.68,NaN,NaN
,,5:40:00,38,38,NaN,33.997,NaN,30.724,NaN,NaN
,,5:46:00,44,44,NaN,35.087,NaN,35.087,NaN,NaN
H27_14Nov2018,10,8:07:00,0,0,25.716,20.245,19.393,16.584,NaN,147.54
,,8:12:00,5,5,27.608,23.126,21.712,19.358,NaN,172.449
,,8:17:00,10,10,31.197,26.248,25.643,24.658,NaN,210.532
,,8:22:00,15,15,34.031,28.975,29.366,28.271,NaN,248.67
,,8:27:00,20,20,35.791,33.916,34.299,33.24,NaN,279.541
,,8:32:00,25,25,38.469,36.99,38.059,37.503,NaN,283.435
,,8:37:00,30,30,41.337,37.858,41.127,37.349,NaN,291.325
,,8:42:00,35,35,41.601,37.713,41.679,37.662,NaN,296.683
,,8:48:00,41,41,41.674,37.798,41.367,37.066,NaN,294.314
,,8:52:00,45,45,41.222,37.954,41.038,37.485,NaN,299.298
,,8:55:00,48,48,41.815,37.176,41.815,37.176,NaN,299.298
H29_14Nov2018,10,3:39:00,0,0,26.348,20.314,21.755,15.225,166.196,207.101
,,3:44:00,5,5,27.55,22.721,23.01,17.862,183.126,254.132
,,3:49:00,10,10,29.258,25.382,25.296,23.447,202.224,265.629
,,3:54:00,15,15,33.344,27.535,31.623,26.418,255.412,271.659
,,3:59:00,20,20,37.046,31.51,36.371,30.183,287.477,284.376
,,4:04:00,25,25,41.213,34.57,41.213,34.57,309.835,309.585
,,4:10:00,31,31,40.808,36.258,40.808,36.258,318.915,326.372
,,4:15:00,36,36,41.552,36.558,41.552,36.558,317.063,323.016
,,4:20:00,41,41,41.542,36.704,41.542,36.704,321.582,320.776
,,4:25:00,46,46,41.542,36.704,41.542,36.704,329.826,320.95
,,4:57:00,78,78,42.714,39.012,42.714,39.012,329.826,320.95
