ID,time (min),time of day,time diff,time in min,fw length (mm),hw length (mm),fwFold (mm),hwFold (mm),fw area,hw area
H5,15,4:03:00,0:00:00,0,28.746,22.077,NaN,NaN,NaN,NaN
,,4:15:00,0:12:00,12,32.939,30.799,NaN,NaN,NaN,NaN
,,4:25:00,0:22:00,22,34.067,34.025,NaN,NaN,NaN,NaN
,,4:36:00,0:33:00,33,34.515,34.113,NaN,NaN,NaN,NaN
,,4:47:00,0:44:00,44,32.751,33.427,NaN,NaN,NaN,NaN
,,4:56:00,0:53:00,53,34.621,33.971,NaN,NaN,NaN,NaN
H6,15,6:55:00,0:00:00,0,26.788,15.852,NaN,NaN,NaN,NaN
,,7:05:00,0:10:00,10,31.705,24.664,NaN,NaN,NaN,NaN
,,7:11:00,0:16:00,16,33.87,26.338,NaN,NaN,NaN,NaN
,,7:16:00,0:21:00,21,35.854,29.466,NaN,NaN,NaN,NaN
,,7:26:00,0:31:00,31,34.846,29.121,NaN,NaN,NaN,NaN
,,7:36:00,0:41:00,41,38.753,32.349,NaN,NaN,NaN,NaN
,,7:47:00,0:52:00,52,34.67,28.126,NaN,NaN,NaN,NaN
,,7:58:00,1:03:00,63,36.135,30.364,NaN,NaN,NaN,NaN
,,8:08:00,1:13:00,73,38.124,33.111,NaN,NaN,NaN,NaN
H18,15,9:00:00,0:00:00,0,28.199,18.372,22.01,11.967,148.533,NaN
,,9:05:00,0:05:00,5,29.029,19.465,23.464,17.323,168.533,NaN
,,9:09:00,0:09:00,9,31.667,20.864,27.863,17.512,190.833,NaN
,,9:14:00,0:14:00,14,33.887,23.469,32.945,21.049,209.619,NaN
,,9:19:00,0:19:00,19,36.719,26.462,35.392,23.649,232.001,NaN
,,9:24:00,0:24:00,24,38.183,28.288,36.11,26.213,230.44,NaN
,,9:29:00,0:29:00,29,38.815,29.895,37.746,28.502,237.268,NaN
,,9:34:00,0:34:00,34,39.49,32.178,39.643,30.672,268.395,NaN
,,9:39:00,0:39:00,39,39.711,30.121,37.869,30.548,254.94,NaN
,,9:47:00,0:47:00,47,39.64,30.399,39.64,30.399,248.642,NaN
,,10:02:00,1:02:00,62,40.762,34.513,39.385,34.513,248.642,NaN
H21_13Nov2018,15,1:03:00,0:00:00,0,28.223,21.649,22.762,12.496,146.473,NaN
,,1:13:00,0:10:00,10,32.622,22.536,28.794,14.673,194.906,NaN
,,1:17:00,0:14:00,14,37.511,24.166,34.459,19.184,200.438,NaN
,,1:22:00,0:19:00,19,40.137,25.632,39.482,19.485,228.879,NaN
,,1:27:00,0:24:00,24,43.823,29.293,43.122,23.867,263.632,NaN
,,1:31:00,0:28:00,28,44.9,30.964,44.387,28.171,293.654,NaN
,,1:37:00,0:34:00,34,45.317,33.927,45.317,28.843,312.157,NaN
,,1:43:00,0:40:00,40,45.124,33.092,45.124,33.092,319.76,NaN
H28_14Nov2018,15,9:35:00,0,0,26.714,21.832,23.538,19.109,136.38,268.262
,,9:37:00,2,2,26.704,21.815,23.07,18.944,142.737,286.468
,,9:40:00,5,5,27.71,22.264,24.375,20.685,145.063,271.212
,,9:45:00,10,10,28.924,24.084,26.54,23.304,162.303,298.995
,,9:50:00,15,15,30.405,25.766,28.544,25.424,171.088,244.525
,,9:56:00,21,21,31.22,30.544,30.389,30.333,173.387,240.676
,,10:03:00,28,28,32.195,33.571,31.442,32.346,183.877,248.575
,,10:07:00,32,32,32.424,33.688,32.152,33.688,173.257,241.084
,,10:13:00,38,38,33.53,34.131,32.707,34.131,200.917,259.946
,,10:17:00,42,42,33.529,34.774,33.413,34.774,201.533,250.991
,,10:23:00,48,48,35.268,36.101,35.268,36.101,201.533,250.991
