ID,time (min),time of day,time diff,time in min,fw length (mm),hw length (mm),fwFold (mm),hwFold (mm),fw area,hw area
H1,5,12:30:00,0:00:00,0,21.277,15.576,NaN,NaN,NaN,NaN
,,1:20:00,,50,27.236,14.89,NaN,NaN,NaN,NaN
H2,5,4:16:00,0:00:00,0,20.129,19.002,NaN,NaN,NaN,NaN
,,4:26:00,0:10:00,10,20.097,19.242,NaN,NaN,NaN,NaN
,,4:27:00,0:11:00,11,19.445,17.588,NaN,NaN,NaN,NaN
,,4:37:00,0:21:00,21,21.203,19.872,NaN,NaN,NaN,NaN
,,4:43:00,0:27:00,27,23.082,21.114,NaN,NaN,NaN,NaN
,,5:42:00,1:26:00,86,26.12,23.086,NaN,NaN,NaN,NaN
,,5:47:00,1:31:00,91,26.085,23.701,NaN,NaN,NaN,NaN
H3,5,6:08:00,0:00:00,0,24.128,11.433,NaN,NaN,NaN,NaN
,,6:09:00,0:01:00,1,24.376,11.638,NaN,NaN,NaN,NaN
,,6:10:00,0:02:00,2,24.615,11.456,NaN,NaN,NaN,NaN
,,6:16:00,0:08:00,8,29.917,13.236,NaN,NaN,NaN,NaN
,,6:17:00,0:09:00,9,28.591,12.913,NaN,NaN,NaN,NaN
,,6:27:00,0:19:00,19,35.476,15.955,NaN,NaN,NaN,NaN
,,6:37:00,0:29:00,29,41.237,20.703,NaN,NaN,NaN,NaN
,,6:53:00,0:45:00,45,39.02,18.128,NaN,NaN,NaN,NaN
,,7:01:00,0:53:00,53,40.343,17.954,NaN,NaN,NaN,NaN
,,7:04:00,0:56:00,56,40.998,20.677,NaN,NaN,NaN,NaN
H23_13Nov2018,5,4:54:00,0:00:00,0,23.303,14.722,17.325,12.823,NaN,NaN
,,4:59:00,0:05:00,5,23.166,15.341,18.02,12.603,NaN,NaN
,,5:02:00,0:08:00,8,23.653,15.296,17.625,13.489,NaN,NaN
,,5:04:00,0:10:00,10,24.24,16.416,18.872,13.138,NaN,NaN
,,5:09:00,0:15:00,15,26.328,16.63,21.517,14.97,NaN,NaN
,,5:15:00,0:21:00,21,29.291,17.72,27.493,16.12,NaN,NaN
,,5:20:00,0:26:00,26,32.93,19.67,30.642,17.889,NaN,NaN
,,5:25:00,0:31:00,31,36.285,23.349,34.296,19.825,NaN,NaN
,,5:30:00,0:36:00,36,35.09,23.439,34.593,21.612,NaN,NaN
,,5:35:00,0:41:00,41,35.702,23.526,35.538,22.636,NaN,NaN
,,5:40:00,0:46:00,46,35.026,23.871,34.384,22.066,NaN,NaN
,,5:45:00,0:51:00,51,34.79,26.598,33.401,27.802,NaN,NaN
H25_13Nov2018,5,6:53:00,0,0,13.813,14.185,6.871,5.211,98.445,84.785
,,6:54:00,1,1,20.568,16.518,14.755,6.223,89.066,95.117
,,6:58:00,5,5,20.43,16.869,14.027,6.118,87.145,88.282
,,7:04:00,11,11,20.341,17.536,13.76,7.627,89.504,90.676
,,7:04:00,11,11,20.518,17.512,16.691,9.317,107.757,92.117
,,7:15:00,22,22,23.418,19.883,18.893,10.171,113.96,102.743
,,7:20:00,27,27,24.308,22.228,21.692,10.331,123.567,117.213
,,7:25:00,32,32,26.684,23.484,23.208,21.204,129.019,123.845
,,7:30:00,37,37,28.373,25.586,24.832,23.605,129.659,141.289
,,7:35:00,42,42,28.076,27.132,24.882,22.673,138.036,140.37
,,7:40:00,47,47,28.695,27.685,24.465,22.403,136.772,144.98
,,7:45:00,52,52,28.079,27.657,25.433,22.872,137.623,140.682
,,7:50:00,57,57,28.194,27.478,24.77,23.433,137.623,140.682
,,7:53:00,60,60,29.272,28.293,27.216,27.275,137.623,140.682
H26_13Nov2018,5,9:29:00,0,0,31.623,20.49,26.392,16.489,136.778,224.182
,,9:33:00,4,4,33.681,22.834,28.539,18.25,121.418,239.445
,,9:38:00,9,9,34.055,24.848,29.412,22.395,125.028,254.316
,,9:43:00,14,14,35.909,28.258,31.776,25.301,137.769,251.575
,,9:49:00,20,20,36.893,30.878,34.038,28.792,142.432,255.033
,,9:53:00,24,24,37.318,31.998,35.687,31.871,138.383,264.678
,,9:58:00,29,29,35.066,31.371,33.76,30.377,138.181,257.51
,,10:03:00,34,34,35.362,31.737,34.329,30.68,131.093,257.51
,,10:09:00,40,40,35.286,31.92,34.217,31.788,136.721,255.672
,,10:14:00,45,45,35.136,31.921,33.554,30.131,137.606,253.241
,,10:18:00,49,49,35.492,32.566,34.134,31.1,134.286,257.794
,,10:19:00,50,50,35.436,33.178,33.867,32.846,134.286,257.794
H30_14Nov2018,5,3:34:00,0,0,21.83,13.24,15.41,7.37,NaN,NaN
,,3:39:00,5,5,22.576,13.894,16.141,9.747,NaN,NaN
,,3:44:00,10,10,22.72,14.464,15.433,12.183,NaN,NaN
,,3:49:00,15,15,23.062,14.907,16.137,11.295,NaN,NaN
,,3:54:00,20,20,24.621,15.296,19.464,13.141,NaN,NaN
,,3:59:00,25,25,27.486,17.852,24.192,15.195,NaN,NaN
,,4:04:00,30,30,29.581,19.657,26.275,16.844,NaN,NaN
,,4:10:00,36,36,30.447,22.281,28.335,17.58,NaN,NaN
,,4:15:00,41,41,30.113,22.49,28.051,20.53,NaN,NaN
,,4:20:00,46,46,30.184,23.122,28.017,21.01,NaN,NaN
,,4:25:00,51,51,29.61,22.331,28.247,20.678,NaN,NaN
,,4:58:00,84,84,29.57,25.44,29.57,25.44,NaN,NaN
H31_14Nov2018,5,10:43:00,0,0,26.427,19.855,18.694,16.042,143.187,NaN
,,10:44:00,1,1,27.388,19.669,20.479,15.445,155.206,NaN
,,10:50:00,7,7,28.936,20.599,23.484,15.088,175.548,NaN
,,10:56:00,13,13,33.215,21.212,29.203,16.654,212.143,NaN
,,11:01:00,18,18,36.921,22.341,33.879,NaN,242.885,NaN
,,11:06:00,23,23,40.215,23.013,36.95,NaN,268.007,NaN
,,11:11:00,28,28,41.299,24.249,41.299,NaN,279.686,NaN
,,11:17:00,33,33,41.299,25.393,41.299,NaN,280.665,NaN
,,11:22:00,37,37,41.299,24.295,41.299,NaN,280.665,NaN
,,11:27:00,42,42,41.299,24.718,41.299,NaN,280.665,NaN
,,11:32:00,47,47,41.299,24.487,41.299,NaN,280.665,NaN
,,11:40:00,55,55,41.753,24.45,41.753,NaN,280.665,NaN
